Date ,Store Manager Name ,Clinic Name ,City ,Email ,Phone Number ,Google Map Link ,POC,REMARKS ,Other Phone Number
2026-09-22,Pending Assignment,PEAK PERFORMANCE,Bangalore,N/A,+918065901651,https://www.google.com/maps/search/PEAK%20PERFORMANCE%20Bangalore,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Sumitz Orthopaedic & Physiotherapy & XRay Centre,Pune,N/A,+919545559434,https://www.google.com/maps/search/Sumitz%20Orthopaedic%20%26%20Physiotherapy%20%26%20XRay%20Centre%20Pune,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Contact,Surat,info@spineandjointclinic.com,+919537508837,https://www.google.com/maps/search/Contact%20Surat,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Dr. chopra spine joint solutions,Delhi,spinejointsolutionsindia@gmail.com,+919953184911,https://www.google.com/maps/search/Dr.%20chopra%20spine%20joint%20solutions%20Delhi,Dr. Chopra Spine,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Contact Realign Chiropractic Clinic in Hyderabad,Hyderabad,N/A,+919642222156,https://www.google.com/maps/search/Contact%20Realign%20Chiropractic%20Clinic%20in%20Hyderabad%20Hyderabad,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Realign Physiotherapy & Chiropractic Clinic,Pune,N/A,+919168288268,https://www.google.com/maps/search/Realign%20Physiotherapy%20%26%20Chiropractic%20Clinic%20Pune,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Drnasirphysio Clinic,Delhi,N/A,+919891878611,https://www.google.com/maps/search/Drnasirphysio%20Clinic%20Delhi,Dr Nasir Oct,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Painfreephysiotherapy Clinic,Delhi,N/A,+919414155422,https://www.google.com/maps/search/Painfreephysiotherapy%20Clinic%20Delhi,Dr Nasir Physiotherapycontact,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Ambadnya Your Family Physiotherapy Clinic,Mumbai,N/A,+919699562419,https://www.google.com/maps/search/Ambadnya%20Your%20Family%20Physiotherapy%20Clinic%20Mumbai,Dr. Salman Physiotherapy,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Comfort physiotherapy clinic,Mumbai,N/A,+919987264786,https://www.google.com/maps/search/Comfort%20physiotherapy%20clinic%20Mumbai,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Physiocity,Noida,N/A,+918287754177,https://www.google.com/maps/search/Physiocity%20Noida,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Ojas Physiotherapy Clinic,Delhi NCR,N/A,+919895831977,https://www.google.com/maps/search/Ojas%20Physiotherapy%20Clinic%20Delhi%20NCR,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Dr ARAVINDA SURESH,Delhi NCR,N/A,+918925449512,https://www.google.com/maps/search/Dr%20ARAVINDA%20SURESH%20Delhi%20NCR,Dr Aravinda Suresh,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Physiotherapy Clinic in Vidhyadhar Nagar Jaipur,Jaipur,N/A,+919680148474,https://www.google.com/maps/search/Physiotherapy%20Clinic%20in%20Vidhyadhar%20Nagar%20Jaipur%20Jaipur,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Physiotherapy Jaipur,Jaipur,N/A,+919772047599,https://www.google.com/maps/search/Physiotherapy%20Jaipur%20Jaipur,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Revivaphysiotherapyjaipur Clinic,Delhi NCR,N/A,+919214317569,https://www.google.com/maps/search/Revivaphysiotherapyjaipur%20Clinic%20Delhi%20NCR,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,H.O.M.E. Physiotherapy,Kochi,N/A,+919072919500,https://www.google.com/maps/search/H.O.M.E.%20Physiotherapy%20Kochi,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,"Physiotherapist in Sanpada, Navi Mumbai",Mumbai,N/A,+918080494373,https://www.google.com/maps/search/Physiotherapist%20in%20Sanpada%2C%20Navi%20Mumbai%20Mumbai,Dr. Parag Sanas,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,"FlexifyMe Advanced Physiotherapy Clinic, Vashi, navi mumbaiBounce Back",Mumbai,N/A,+916746649196,https://www.google.com/maps/search/FlexifyMe%20Advanced%20Physiotherapy%20Clinic%2C%20Vashi%2C%20navi%20mumbaiBounce%20Back%20Mumbai,Dr. Veda Hadawale,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Bounce Back,Mumbai,N/A,+919619872667,https://www.google.com/maps/search/Bounce%20Back%20Mumbai,Dr. Veda Hadawale,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Timetophysiocentre Clinic,Coimbatore,N/A,+919043655279,https://www.google.com/maps/search/Timetophysiocentre%20Clinic%20Coimbatore,Dr. Y,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Healing health Physiotherapy Clinic,Surat,N/A,+917861966956,https://www.google.com/maps/search/Healing%20health%20Physiotherapy%20Clinic%20Surat,Dr. Payal P,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Physiotherapy Clinic,Surat,N/A,+919099976744,https://www.google.com/maps/search/Physiotherapy%20Clinic%20Surat,Dr Nirav Bhansali,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Sparsh Physiotherapy Clinic Surat,Surat,N/A,+918200757497,https://www.google.com/maps/search/Sparsh%20Physiotherapy%20Clinic%20Surat%20Surat,Doctor / Clinic Director,1000 Sq ft (Verified Premium Facility) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
2026-09-22,Pending Assignment,Best Orthopedic and Spine Clinic In Mumbai,Mumbai,N/A,+918888943964,https://www.google.com/maps/search/Best%20Orthopedic%20and%20Spine%20Clinic%20In%20Mumbai%20Mumbai,Doctor / Clinic Director,950 Sq ft (Verified Operational Clinic Setup) | Operational premium rehab facility suitable for Nonstop PhysioCare co-branding & equipment upgrade,N/A
