Tier,Brand / Company Name,Headquarters / India Presence,Products / Focus,Email,Email 2
Tier 1 - Premium,Talos Health Solutions,(Global HQ: Brussels/USA) - No direct India Office found,Senior-focused automatic dispensers,info@talosmail.com,
Tier 1 - Premium,Therabody,"Los Angeles, California (Global HQ)","Theragun, smart goggles, compression",sales@therabody.com,
Tier 1 - Premium,Thorne Research,"New York City, New York (Global HQ)",Clinically backed recovery supplements,info@thorne.com,
Tier 1 - Premium,Ultrahuman,"Bengaluru, Karnataka (Ultrahuman Healthcare)","Continuous Glucose Monitors, Smart Rings",support@ultrahuman.com / adi@ultrahuman.life,
Tier 1 - Premium,Upright,Posture training devices.,Wearable posture trainers,hello@uprightpose.com,
Tier 1 - Premium,Vermeiren,"Sri City, Andhra Pradesh (Vermeiren India Rehab)",Advanced wheelchairs (Existing Partner target),info@vermeiren.in,
Tier 1 - Premium,Wakefit,"Bengaluru, Karnataka (Wakefit Innovations)","Orthopedic pillows, wedge pillows",partnerships@wakefit.co,
Tier 1 - Premium,Whill,"Tokyo, Japan (Global) / Mumbai (Regional Partner)",Smart personal EVs (Existing Partner target),info@whill.inc,
Tier 1 - Premium,White Willow,New Delhi (The White Willow),"Specialty memory foam pillows, knee pillows",support@thewhitewillow.in,
Tier 1 - Premium,Whoop,"Boston, Massachusetts (Global HQ)",Performance and Recovery Tracking,partnerships@whoop.com,
Tier 2 - Standard,ACME,ACME Medical Services / ACME Meditech.,"Fowler beds, ICU beds",acme@acmemedical.in,
Tier 2 - Standard,Agaro,"Kolkata, West Bengal (Universal Corporation Ltd)","Full body massagers, compression",info@agarolifestyle.com,
Tier 2 - Standard,BeatXP,"Gurugram, Haryana (Pristyn Care - BeatXP)","Massage guns, EMS foot massagers",support@beatxp.com,
Tier 2 - Standard,Dr. Ortho,Ayurvedic pain relief brand.,"Ayurvedic pain relief, posture correctors",info@drorthooil.com,
Tier 2 - Standard,Dynamic Techno Medicals,"PB No. 45, Asokapuram, Aluva, Kerala – 683101","Compression garments, orthopedics",info@dynamictechnomedicals.com,
Tier 2 - Standard,Flo,"London, UK (Flo Health Inc)",Basic memory foam sleep products,partnerships@flo.health,
Tier 2 - Standard,HealthSense,"Bengaluru, Karnataka (Bright Health Care)","Scales, BP monitors, nebulizers",support@healthsense.in,
Tier 2 - Standard,Hero Eco Med,Partner/Dealer,"Rehab products, standard wheelchairs",wecare@heroeco.com,
Tier 2 - Standard,JSB Healthcare,New Delhi (JSB Healthcare),"Massage chairs, leg massagers",info@jsbhealthcare.com,
Tier 2 - Standard,KareIn,Adult diapers & hygiene (Universal Corp).,Incontinence products,karein@uclindia.com,
Tier 2 - Standard,Karma Healthcare,Major wheelchair supplier.,Standard mobility aids,service@karmahealthcare.com,
Tier 2 - Standard,Kurlon (Ortho),"Bengaluru, Karnataka (Kurlon Enterprise Ltd)",Standard orthopedic mattresses,customercare@kurlon.com,
Tier 2 - Standard,Strappal / Leukotape,Bengaluru,Rigid strapping tapes,customercare.india@essity.com,
Tier 2 - Standard,Tynor Orthotics,"Mohali, Punjab (Tynor Orthotics Pvt Ltd)",High volume orthopedic soft goods,support@tynor.in,retail@tynorindia.com
Tier 2 - Standard,Vissco,"Mumbai, Maharashtra (Vissco Rehabilitation Aids)","Mobility aids, posture correctors",customercare@vissco.com,
Tier 2 - Standard,Volini (Sun Pharma),"Mumbai, Maharashtra (Sun Pharmaceutical Industries)",Pain relief gels/sprays,secretarial@sunpharma.com,
Tier 2 - Standard,Zandu (Emami),"Kolkata, West Bengal (Emami Limited)",Pain relief balms/sprays,customercare@emamigroup.com,
Tier 1 - Premium,Garmin,Global / India Presence,Premium Smartwatches & Vitals,sales@garmin.com,
Tier 1 - Premium,Withings,Global,Smart Scales & BP Monitors,b2b@withings.com,
Tier 1 - Premium,Coros,Global,Performance Wearables,partnerships@coros.com,
Tier 1 - Premium,Suunto,Global,Sports Watches,b2b.sales@suunto.com,
Tier 1 - Premium,Qardio,Global,Smart BP Monitors & ECG,sales@getqardio.com,
Tier 1 - Premium,AliveCor,Global / India Presence,KardiaMobile ECG,partnerships@alivecor.com,
Tier 1 - Premium,Eko Health,Global,Digital Stethoscopes,contact@ekohealth.com,
Tier 1 - Premium,TytoCare,Global,Remote Medical Exams,sales@tytocare.com,
Tier 1 - Premium,Dexcom,Global / India Presence,Continuous Glucose Monitoring,sales@dexcom.com,
Tier 1 - Premium,Medtronic,Global / India HQ,Advanced Medical Tech,rs.indiacontactcentre@medtronic.com,
Tier 1 - Premium,iHealth Labs,Global,Connected Vitals Tech,sales@ihealthlabs.com,
Tier 1 - Premium,Biobeat,Global,Continuous Vitals Monitoring,info@bio-beat.com,
Tier 1 - Premium,Waterpik,Global / India Presence,Water Flossers,professional@waterpik.com,
Tier 1 - Premium,Philips Sonicare,Global / India HQ,Electric Toothbrushes,customercare.india@philips.com,
Tier 1 - Premium,Foreo,Global / India Presence,Oral and Facial Care Tech,sales@foreo.com,
Tier 1 - Premium,Quip,Global,Subscription Oral Care,help@getquip.com,
Tier 1 - Premium,Four Sigmatic,Global,Mushroom Coffee & Focus,orders@foursigmatic.com,
Tier 1 - Premium,Mud\Wtr,Global,Coffee Alternatives,drink@mudwtr.com,
Tier 1 - Premium,Bulletproof,Global,MCT Oils & Focus Tech,care@bulletproof.com,
Tier 1 - Premium,Athletic Greens (AG1),Global,Daily Nutritional Foundation,partnerships@athleticgreens.com,
Tier 1 - Premium,Circular Smart Ring,Global,Wellness Tracking Rings,b2b@circular.xyz,
Tier 1 - Premium,RingConn,Global,Smart Health Rings,sales@ringconn.com,
Tier 1 - Premium,KardiaMobile,Global / India Presence,Personal ECG Monitors,support@alivecor.in,
Tier 2 - Standard,Dr. Morepen,India,BP Monitors & Thermometers,info@morepen.com,
Tier 2 - Standard,Diamond BP,India,Sphygmomanometers,sales@diamondbp.com,
Tier 2 - Standard,Rossmax,Global / India HQ,Diagnostics & Nebulizers,info@rossmax.com,
Tier 2 - Standard,Equinox,India,Weighing Scales & Monitors,customercare@equinox-india.com,
Tier 2 - Standard,OxyMed,India,Oxygen Concentrators,support@oxymedindia.com,
Tier 2 - Standard,Nisco,India,Medical Diagnostics,niscoindia@yahoo.co.in,
Tier 2 - Standard,Everteen,India D2C,Intimate Hygiene,info@wetanddryproducts.com,
Tier 2 - Standard,Sirona,India D2C,Feminine Hygiene & Care,info@thesirona.com,
Tier 1 - Premium,Drive DeVilbiss,Global / India Presence,Mobility & Respiratory Aids,sales@drivemedical.com,
Tier 1 - Premium,Nova Medical,Global,Premium Mobility Products,info@novajoy.com,
Tier 1 - Premium,Medline,Global / India HQ,Advanced Medical & Mobility Supplies,medlineindia@medline.com,
Tier 1 - Premium,Karman Healthcare,Global,Ultra Lightweight Wheelchairs,sales@karmanhealthcare.com,
Tier 1 - Premium,EZ Lite Cruiser,Global,Foldable Power Wheelchairs,support@ezlitecruiser.com,
Tier 1 - Premium,Hoveround,Global,Power Chairs,b2b@hoveround.com,
Tier 1 - Premium,Rollz,Global,Rollator Wheelchair Combos,info@rollz.com,
Tier 1 - Premium,byACRE,Global,Carbon Fiber Rollators,sales@byacre.com,
Tier 1 - Premium,Ossur,Global / India HQ,Prosthetics & Premium Bracing,ossurindia@ossur.com,
Tier 1 - Premium,DonJoy,Global / India HQ,Sports Medicine Braces,international@enovis.com,
Tier 1 - Premium,Breg,Global,Ortho Bracing & Cold Therapy,order@breg.com,
Tier 1 - Premium,Bauerfeind,Global / India Presence,Premium German Orthopedic Supports,info@bauerfeind.in,
Tier 1 - Premium,Thuasne,Global / India Presence,Compression & Orthocare,info@thuasne.in,
Tier 1 - Premium,Incrediwear,Global,Anti-inflammatory Wearable Tech,sales@incrediwear.com,
Tier 1 - Premium,Superfeet,Global / India Presence,Premium Insoles,wholesale@superfeet.com,
Tier 1 - Premium,Spenco,Global,Orthotic Arch Support,b2b@implus.com,
Tier 1 - Premium,Powerstep,Global,Clinical Insoles,sales@powerstep.com,
Tier 1 - Premium,Currex,Global,Dynamic Insoles,contact@currex.com,
Tier 1 - Premium,Vionic,Global,Orthotic Footwear,wholesale@vionicshoes.com,
Tier 1 - Premium,Dansko,Global,Ergonomic Professional Footwear,wholesale@dansko.com,
Tier 1 - Premium,OOFOS,Global / India Presence,Active Recovery Footwear,wholesale@oofos.com,
Tier 1 - Premium,HOKA (Recovery),Global / India Presence,Max Cushioning Recovery Shoes,b2b@deckers.com,
Tier 1 - Premium,Kane Footwear,Global,Active Recovery Shoes,wholesale@kanefootwear.com,
Tier 1 - Premium,AlignMed,Global,Posture Shirts,info@alignmed.com,
Tier 1 - Premium,Forme,Global,Posture Correction Wearables,wholesale@forme.science,
Tier 2 - Standard,Stander,Global,Bed Rails & Mobility Aids,sales@stander.com,
Tier 2 - Standard,Carex,Global,Daily Living Aids,sales@carex.com,
Tier 2 - Standard,Vive Health,Global,Mobility & Rehab Aids,wholesale@vivehealth.com,
Tier 2 - Standard,Mueller Sports Medicine,Global / India Presence,Sports Braces,sales@muellersportsmed.com,
Tier 2 - Standard,McDavid,Global / India Presence,Sports Med & Recovery,b2b@unitedspb.com,
Tier 2 - Standard,Shock Doctor,Global,Protection & Support,b2b@unitedspb.com,
Tier 2 - Standard,Zamst,Global,Sports Bracing,global@zamst.com,
Tier 2 - Standard,Copper Fit,Global,Compression Wear,support@copperfitusa.com,
Tier 2 - Standard,Tommie Copper,Global,Copper Compression,wholesale@tommiecopper.com,
Tier 2 - Standard,Dyna,India,Orthopedics & Compression,customercare@dynamictechnomedicals.com,
Tier 1 - Premium,PowerDot,Global,Smart Muscle Stimulation,sales@therabody.com,
Tier 1 - Premium,Marc Pro,Global,EMS for Recovery,contact@marcpro.com,
Tier 1 - Premium,RumbleRoller,Global,Deep Tissue Rollers,sales@rumbleroller.com,
Tier 1 - Premium,TriggerPoint,Global / India Presence,Foam Rollers & Massage,sales@implus.com,
Tier 1 - Premium,RAD Roller,Global,Mobility Tools,wholesale@radroller.com,
Tier 1 - Premium,Roll Recovery,Global,R8 Deep Tissue Rollers,info@rollrecovery.com,
Tier 1 - Premium,Tiger Tail,Global,Portable Foam Rollers,sales@tigertailusa.com,
Tier 1 - Premium,Liquid I.V.,Global,Hydration Multiplier,partnerships@liquid-iv.com,
Tier 1 - Premium,LMNT,Global,Electrolyte Drink Mix,hello@drinklmnt.com,
Tier 1 - Premium,Nuun,Global,Hydration Tablets,sales@nuunlife.com,
Tier 1 - Premium,Skratch Labs,Global,Sports Hydration,wholesale@skratchlabs.com,
Tier 1 - Premium,Maurten,Global,Hydrogel Sports Fuel,sales@maurten.com,
Tier 1 - Premium,DripDrop,Global,ORS Hydration,wholesale@dripdrop.com,
Tier 1 - Premium,Kaged Muscle,Global,Premium Supplements,wholesale@kaged.com,
Tier 1 - Premium,Onnit,Global,Total Human Optimization,wholesale@onnit.com,
Tier 1 - Premium,BiOptimizers,Global,Digestive & Recovery Supplements,support@bioptimizers.com,
Tier 1 - Premium,DJO Global,Global / India HQ,Clinical Rehabilitation Tech,info.india@djoglobal.com,
Tier 1 - Premium,Zimmer MedizinSystems,Global / India Presence,Clinical Cold & Laser Therapy,info@zimmer.de,
Tier 1 - Premium,Game Ready,Global,Cold & Compression Therapy,info@gameready.com,
Tier 1 - Premium,IceGator,Global,Portable Ice Therapy,sales@icegator.com,
Tier 1 - Premium,BrainTap,Global,Brain Fitness & Relaxation,support@braintap.com,
Tier 1 - Premium,Core (by Hyperice),Global,Meditation Trainer,sales@hyperice.com,
Tier 2 - Standard,iReliev,Global,Affordable TENS Units,wecare@ireliev.com,
Tier 2 - Standard,Biofreeze,Global / India Presence,Topical Analgesics,wholesale@biofreeze.com,
Tier 2 - Standard,Tiger Balm,Global / India Presence,Pain Relieving Ointment,customercare@hawpar.com,
Tier 2 - Standard,Salonpas,Global / India Presence,Pain Relief Patches,info@hisamitsu.co.jp,
Tier 2 - Standard,Penetrex,Global,Joint & Muscle Therapy,support@penetrex.com,
Tier 2 - Standard,Voltaren,Global / India Presence,Arthritis Pain Gel,consumer.care@haleon.com,
Tier 2 - Standard,Boiron (Arnica),Global / India Presence,Homeopathic Arnica Remedies,info@boiron.in,
Tier 2 - Standard,Moov (Reckitt),India HQ,Pain Relief Specialists,consumercare_in@reckitt.com,
Tier 2 - Standard,Iodex (GSK),India HQ,Pain Relief Balm,askus@haleon.com,
Tier 2 - Standard,Omnigel (Cipla),India HQ,Diclofenac Pain Gel,contactus@cipla.com,
Tier 2 - Standard,Kool Pak,Global,Instant Ice Packs,sales@koolpak.co.uk,
Tier 1 - Premium,Tempur-Pedic,Global / India Presence,Premium Memory Foam Mattresses,retailpartners@tempursealy.com,
Tier 1 - Premium,Sleep Number,Global,Smart Adjustable Beds,b2b@sleepnumber.com,
Tier 1 - Premium,Casper,Global,Premium Bed-in-a-Box,wholesale@casper.com,
Tier 1 - Premium,Purple,Global,Gel Grid Mattresses,wholesale@purple.com,
Tier 1 - Premium,Saatva,Global,Luxury Innerspring Mattresses,partnerships@saatva.com,
Tier 1 - Premium,Avocado Green,Global,Organic Mattresses,support@avocadomattress.com,
Tier 1 - Premium,Helix Sleep,Global,Customized Mattresses,wholesale@helixsleep.com,
Tier 1 - Premium,Hatch,Global,Smart Sleep Clocks,wholesale@hatch.co,
Tier 1 - Premium,Loftie,Global,Smart Alarm Clocks,wholesale@byloftie.com,
Tier 1 - Premium,QuietOn,Global,Active Noise Canceling Earbuds,sales@quieton.com,
Tier 1 - Premium,Kokoon,Global,Sleep Sensing Headphones,sales@kokoon.io,
Tier 1 - Premium,Lumie,Global,Wake-up Lights,b2b@lumie.com,
Tier 1 - Premium,Swanwick,Global,Blue Light Blocking Glasses,wholesale@swanwicksleep.com,
Tier 1 - Premium,Felix Gray,Global,Blue Light Eyewear,wholesale@felixgray.com,
Tier 1 - Premium,Gunnar,Global / India Presence,Computer & Gaming Eyewear,sales@gunnars.com,
Tier 1 - Premium,Manta Sleep,Global / India Presence,Premium Sleep Masks,wholesale@mantasleep.com,
Tier 1 - Premium,Nodpod,Global,Weighted Sleep Masks,wholesale@nodpod.com,
Tier 1 - Premium,Bedgear,Global,Performance Bedding,wholesale@bedgear.com,
Tier 1 - Premium,PureCare,Global,Health & Wellness Bedding,sales@purecare.com,
Tier 1 - Premium,Sunday Rest,India D2C,Orthopedic Mattresses,hello@sundayrest.com,
Tier 1 - Premium,Livpure Sleep,India D2C,Premium Sleep Products,care@livpuresleep.com,
Tier 2 - Standard,Yogasleep (Marpac),Global,White Noise Machines,wholesale@yogasleep.com,
Tier 2 - Standard,Sound+Sleep,Global,Sound Machines,support@soundofsleep.com,
Tier 2 - Standard,Tuft & Needle,Global,Standard Bed-in-a-Box,partnerships@tuftandneedle.com,
Tier 2 - Standard,Nectar,Global,Memory Foam Mattresses,partners@nectarsleep.com,
Tier 2 - Standard,Leesa,Global,Multi-layer Foam Mattresses,partnerships@leesa.com,
Tier 2 - Standard,Sleepycat,India D2C,Standard Mattresses & Pillows,info@sleepycat.in,marketing@sleepycat.in
Tier 2 - Standard,SleepX (Sheela Foam),India HQ,Standard Sleep Gear,care@sleepx.com,export@sheelafoam.com
Tier 2 - Standard,Vicks (ZzzQuil),Global / India Presence,Sleep Aids,investorpghh.im@pg.com,
Tier 2 - Standard,Himalaya Wellness (Sleep),India HQ,Ayurvedic Sleep Support,care@himalayawellness.com,
